CODE ISIN,Code Maroclear,Info,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Benchmark,Periodicite VL,Souscripteurs,Affectation des résultats,Commission de souscription, Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,Normal
MA0000030777,3077,SG VALEURS,SOGECAPITAL GESTION,SICAV,Monétaire,"[0  0,5[",TMP,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,SOCIETE GENERALE,SGMB + SOGECAPITAL GESTION,555222750.19,208.98,0.00283122990546573,4.785375891271908e-05,0.0004787437763308,0.0017256255392579,0.006695890938869822,0.013826226167952236,0.03088003157063926,0.06156659555013703,0.07537793117416565,0.10810791607310057,TMP
MA0000035677,3567,CDG HORIZONS,CDG CAPITAL GESTION,FCP,OMLT,"]1,1  5,1]",MBI (MLT) (50%)+MBI (LT) (50%),Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,CDG Capital,CDG CAPITAL GESTION,219119355.24,2144.15,0.005562095212189771,0.0001166099165072,0.0007794705201449,0.003021953604124,0.013475827645535262,0.035551112270229085,0.06563324702175359,0.1131329072852152,0.0646702186294323,-,MBI
MA0000035735,3573,STAFF ACTION,CFG GESTION,FCP,Actions,-,-,Quotidienne,FNPP,Capitalisant,0.003,0.003,0.02,CFG BANK,CFG GROUP,31304676.81215027,4046.1,0.11967744345713308,-0.0069701803902319,-0.0027924080021096,0.0196696110180062,0.12704735376044565,0.21149061162894447,0.37640239214592364,0.6332041656575441,0.36309427554980583,0.6262459807073955,
MA0000035743,3574,CFG PERFORMANCE,CFG GESTION,FCP,Actions,-,CFG 25 Flottant,Quotidienne,FGP,Capitalisant,0.0045,0.00454,0.02,CFG BANK,CFG Gestion;CFG BANK,741999423.1722641,1069.77,0.1176734855924943,-0.0057807228691716,-0.0001775767318404,0.0205099831150371,0.12029531888155828,0.21499880745510913,0.4006074968250436,0.6419603388998035,0.27232397716460516,0.4328364206212078,CFG
MA0000035784,3578,CFG VALEURS,CFG GESTION,FCP,Actions,-,CFG 25 Flottant,Quotidienne,FGP,Capitalisant,0.003,0.003,0.02,CFG BANK,CFG Gestion;CFG BANK,33010059.495852903,632.26,0.11047491920753122,-0.0048477980294016,-0.0017052452079452,0.017558541884606,0.11385938023007945,0.18091146806126265,0.3106278891399431,0.494457182026615,0.19078649992466465,0.31709857511874,CFG
MA0000035792,3579,CFG RENDEMENT,CFG GESTION,FCP,OMLT,[2   6[,CFG Bonds CT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.01,CFG BANK,CFG Gestion;CFG BANK,36042318.55365916,329.85,0.0024617067833698097,-0.0003636694244931,-0.0003636694244931,0.0001212819502138,0.0025226430004256306,-9.094216078565756e-05,0.004017897908866923,0.0068373981258203625,-0.055087658989343306,-0.05171918123275056,CFG
MA0000035826,3582,CFG LIQUIDITE,CFG GESTION,FCP,OCT,"]0,5; 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.005,0.005,0.01,CFG BANK,CFG Gestion;CFG BANK,140684597.48567945,218.64,0.0016951482109313057,4.5739377029643255e-05,0.0003202635311341,0.0010072337698012,0.004317868626550288,0.006907985631389887,0.02077594658947658,0.04542411781581716,0.04288099212973995,0.08087799090369777,MBI
MA0000035834,3583,CFG SECURITE,CFG GESTION,FCP,Monétaire,"]0 0,5]",TMP interbancaire,Quotidienne,FGP,Capitalisant,0.0,0.0,0.006,CFG BANK,CFG Gestion;CFG BANK,1795610656.758705,2475.52,0.0027991460781572846,6.46370628918034e-05,0.0004526349822178,0.0017319240543209,0.006419403755696749,0.012983930697809558,0.028650735278840763,0.058090878394262226,0.0684298890361119,0.10353189763158246,TMP
MA0000035925,3592,FCP CAPITAL DYNAMIQUE,BMCE CAPITAL GESTION,FCP,OCT,"[0,5  1,1[",MBI CT,Quotidienne,FGP,Capitalisant,0.0,0.0,0.01,BMCE,BMCE Bank,125777833.34,2207.63,0.0008250937297410764,-1.3589049038232943e-05,0.0002265385364704,0.0004123767401393,0.002279114323461703,0.005575319191578825,0.016469754035711315,0.031328104196545754,0.032505039450360824,0.077465579259216,MBI
MA0000035974,3597,EMERGENCE MONEY MARKET FUND,VALORIS MANAGEMENT,FCP,Monétaire,"[0  0,5[",MBI Court Terme,Quotidienne,FGP,Capitalisant,0.0,0.0,0.0065,BMCE BANK,VALORIS MANAGEMENT+ VALORIS FINANCE +CAPITAL GESTION GROUP,632140437.45,2018.16,0.0027077919819547005,4.955254055882205e-05,0.0004411903215732,0.0017372658413826,0.006202261532018454,0.013391982887185008,0.03013072128955198,0.05944606597652395,0.07043747613187942,0.10610777392905694,MBI
MA0000036006,3600,UPLINE TRESORERIE,UPLINE CAPITAL MANAGEMENT,FCP,Monétaire,"]0  0,5]",100% TMP,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,BCP,Upline Capital Management,445975487.42,18954.29,0.0027610688759451244,6.331421419941168e-05,0.0004233023175538,0.0017467142745401,0.006565891246451897,0.013273822983974611,0.02865694321959166,0.05735714963098512,0.07465305634159773,0.10531017780677962,TMP
MA0000036014,3601,UPLINE CASH,UPLINE CAPITAL MANAGEMENT,FCP,Monétaire,"]0  0,5]",100% MONIA,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,BCP,Upline Capital Management,1172235791.9,22730.96,0.002959775643005439,6.775359864003891e-05,0.0004709453148863,0.0018656921991322,0.006447099557899284,0.01393578707623236,0.03060771095961703,0.06103568206122567,0.07530049666093801,0.10505235043410245,MONIA
MA0000036048,3604,ATTIJARI MONETAIRE PLUS,WAFA GESTION,FCP,OCT,"[0,5  1,1[",MBI (CT),Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,ATTIJARIWAFA BANK,ATTIJARIWAFA BANK ,1044199400.87,223.67,0.0027796458193229145,4.471072163100646e-05,0.0004920379316513,0.0014775678337959,0.006751586622856372,0.014008522984857988,0.031878575382911965,0.06773916364330723,0.07116517408170099,0.11617346174958831,MBI
MA0000036063,3606,ATTIJARI ACTIONS,WAFA GESTION,FCP,Actions,-,100% MASI,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,ATTIJARIWAFA BANK ,377926684.33,807.73,0.10395396831905103,-0.0062254702936797,1.238052790569864e-05,0.0228185029947702,0.08857023490249462,0.15550119451239583,0.2751081362674833,0.4465596905333286,0.14617152911794754,-,MASI
MA0000036147,3614,CDM SECURITE PLUS,WAFA GESTION,FCP,Monétaire,"[0  0,5[",TMP ,Quotidienne,FGP,Capitalisant,0.0,0.0,0.01,Credit du Maroc,CREDIT DU MAROC,157205662.46,1990.25,0.0024630293750252347,5.527249339237438e-05,0.0003820074491452,0.0017364606402255,0.005212305485547437,0.010987392183356925,0.023575274762010028,0.04846569208481496,0.06159122670393328,0.08583571568862794,TMP
MA0000036154,3615,FCP CDM LIQUIDITES,WAFA GESTION,FCP,OCT,"[0  1,1[",MBI (CT) (80%)+MBI (MT) (20%),Quotidienne,FGP,Capitalisant,0.0,0.0,0.01,Credit du Maroc,CREDIT DU MAROC,492439842.12,38918.82,0.00274397407833389,6.11566731180288e-05,0.0004874053531297,0.0015247209374679,0.006512530064395989,0.01345788931360618,0.03074095359671173,0.06378357634545918,0.06309780577827026,0.09759190848310277,MBI
MA0000036196,3619,FCP CAM LIQUIDITE,MAROGEST,FCP,Monétaire,-,-,Quotidienne,FGP,Capitalisant,0.0,0.0,0.0065,CIH,MSIN et CIH ,438435924.49,1866.07,0.0032958052410292167,6.96699786702047e-05,0.0005254438123629,0.0020997121622201,0.007455756751212003,0.015183661922792278,0.033765068250310254,0.06838923177336802,0.08522727272727271,0.12872826251323147,
MA0000036220,3622,FCP CAPITAL PROTECTION,BMCE CAPITAL GESTION,FCP,Actions,-,Masi,Quotidienne,FNPP,Capitalisant,0.02,0.01,0.02,BMCE,BMCE Capital Gestion+ BMCE BANK,1105220766.75,3574.38,0.10986632718014057,-0.0055172068410025,-0.0009000447227189,0.0173766768279671,0.0992815756129374,0.19435431863215263,0.34089253968446437,0.6019561139261591,0.32982306796552335,0.5180871362453224,Masi
MA0000036238,3623,FCP CAPITAL MONETAIRE,BMCE CAPITAL GESTION,FCP,Monétaire,"[0  0,25[",TMP,Quotidienne,FGP,Capitalisant,0.01,0.005,0.01,BMCE BANK,BMCE Bank,172246440.5,1609.56,0.002560029898159332,5.591902924560144e-05,0.0004040002237538,0.0018424000995892,0.005522514868309209,0.011608394245454392,0.024681847987318473,0.051154953860621806,0.0658420136014779,0.0928200427742133,TMP
MA0000036246,3624,CDG MONETAIRE PLUS,CDG CAPITAL GESTION,FCP,OCT,"[0,5  1,1[",MBI (CT) (85%)+MBI (MT) (15%),Quotidienne,FGP,Capitalisant,0.0,0.0,0.006,CDG Capital,CDG CAPITAL GESTION,1222304705.04,2210.87,0.005429913639815754,7.237493836815072e-05,0.000556651762278,0.0018488392642706,0.010669567960210688,0.021427680423564032,0.04608039820580269,0.08375980392156858,0.0895923275573166,0.13024963064071693,MBI
MA0000036261,3626,FCP CAPITAL IMTIYAZ LIQUIDITE,BMCE CAPITAL GESTION,FCP,OCT,"]0,5  1,1]",Taux Repo au jour le jour,Quotidienne,FGP,Capitalisant,0.01,0.005,0.008,BMCE BANK,BMCE BANK + BMCE CAPITAL GESTION,11170547280.69,18482.31,0.00390321800933712,8.224756625666092e-05,0.00060093518508,0.0022509869419982,0.009076182827429771,0.018418507773562562,0.041341382061417936,0.084362605899885,0.09781053374365412,0.15846482480409485,Taux Repo
MA0000036287,3628,EMERGENCE BOND FUND,VALORIS MANAGEMENT,FCP,OCT,]0.5  1.1],MBI Court Terme,Quotidienne,FGP,Capitalisant,0.0,0.0,0.008,BMCE BANK,VALORIS MANAGEMENT+ VALORIS FINANCE +CAPITAL GESTION GROUP,542365573.16,2330.26,0.0024865776431718923,3.8623791397256646e-05,0.0004465014039036,0.0013277929846122,0.006339664360549103,0.01376919094583252,0.031083933256932487,0.06339014762589286,0.07489771159975846,0.1287339730393465,MBI
MA0000036303,3630,FCP CAPITAL ACTIONS,BMCE CAPITAL GESTION,FCP,Actions,-,Masi,Quotidienne,FGP,Capitalisant,0.01,0.005,0.01,BMCE BANK,BMCE Bank,35766189.51,236.21,0.11535555765416945,-0.0050545469862263,-0.0002116312537034,0.0184099336035181,0.11746617466174668,0.21507201646090535,0.3503115531927056,0.5858341725411214,0.2503837806362819,0.40919937954897984,Masi
MA0000036311,3631,FCP CAPITAL SELECTION,BMCE CAPITAL GESTION,FCP,Actions,-,Madex,Quotidienne,FGP,Capitalisant,0.01,0.005,0.01,BMCE BANK,BMCE Bank,3171036.91,290.14,0.07264593885171347,-0.0070159827509497,-0.0032978357952594,0.0109759921948499,0.07758588672237693,0.17967066476926205,0.3221837404301859,0.5687483103541497,0.24780664028900729,0.4063302796762153,
MA0000036329,3632,FCP CAPITAL TERME,BMCE CAPITAL GESTION,FCP,Diversifié,-,80% MBI Global + 20% MASI.,Quotidienne,FGP,Capitalisant,0.02,0.02,0.02,BMCE BANK,BMCE Bank ; BMCE Capital Gestion,76247678.14,227.3,0.03261857168817012,-0.0010547596027071,0.000308057914888,0.0071336789401391,0.038753313225482214,0.07929724596391272,0.13604558176729306,0.23687217717799422,0.12285728399940722,0.22388541891018746,MBI+MASI
MA0000036345,3634,CFG INSTIBONDS,CFG GESTION,FCP,OMLT,"]1,5  5,5]",MBI (Global) ,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,CFG BANK,CFG Gestion; CFG Bank,1496048.5533471736,149.62,0.0032184524607752328,6.684045184139365e-05,6.684045184139365e-05,0.0014055284117529,0.00924114671163578,0.023322618151973163,0.05336524922557035,0.09539497767040048,-,-,MBI
MA0000036352,3635,FCP CAM TRESO PLUS,MAROGEST,FCP,OCT,"]0,5 1,1]",85% MBI CT et 15 % MBI MT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,CIH,MAROGEST;CIH; MSIN;CAM,612396343.26,166.99,0.003425069102271492,5.988741166618354e-05,0.0005392450569203,0.0019199616007681,0.008028492092237188,0.017239278752436724,0.039399975102701434,0.08084142394822012,0.0907250163291967,0.146279516749039,MBI
MA0000036402,3640,FCP UPLINE EQUILIBRE,UPLINE CAPITAL MANAGEMENT,FCP,Diversifié,-,75% MBI Global + 25% MASI 20,Quotidienne,FGP,Mixte,0.03,0.03,0.02,BCP,UPLINE Capital Management ,545340319.29,119.42,0.05290072297654735,-0.001588495945155,0.0012576507084766,0.0136660724896018,0.056720644190779546,-0.15286940483790876,-,-0.12262140915436053,-,-,MBI+MASI
MA0000036477,3647,INSTIMONETAIRE,CIH CAPITAL MANAGEMENT,FCP,Monétaire,-,Masi (60%)+MBI (MT) (40%),Quotidienne,FGP,Capitalisant,0.0125,0.005,0.0195,BMCI,BMCI,8201568.59,132.99,0.008416742493175719,7.51992780870757e-05,0.0003008649868373,0.0009784735812132,0.014726079658171881,0.02362992610837455,0.03333333333333349,0.04642379416161779,0.053803486529318593,0.07362557519980628,MBI+Masi
MA0000036576,3657,UPLINE VALEURS PLUS,UPLINE CAPITAL MANAGEMENT,FCP,Actions,-,MASI,Quotidienne,FGP,Mixte,0.03,0.03,0.02,BCP,Upline Capital Management,13434835.15,3881.78,0.12302800785759127,-0.0041636629972729,0.0029273081941377,0.0285422065361971,0.11782780099118532,0.1884697813973426,0.34006510834705583,0.575998960642453,0.3164913280290853,0.43065957070409244,MASI
MA0000036584,3658,SG NOVA,SOGECAPITAL GESTION,FCP,Monétaire,"[0  0,5[",TMP,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,SOCIETE GENERALE,GESTAR,1480492.07,1480.49,0.0021864803758309425,5.403908376728557e-05,0.0003783962754994,0.0016304936133362,0.004839278927078318,0.010173446690047683,0.023483947681331767,0.04876562887401262,0.05948317195875117,0.08432208355305569,TMP
MA0000036600,3660,ALIF I,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,"]1,1   10]",50 % MBI MT + 50% MBI MLT,Quotidienne,FNPP,Capitalisant,0.03,0.03,0.02,BCP,Upline Capital Management,2177645393.94,1776.84,0.004999999999999954,0.0002420612358632,0.0006927196850659,0.0036772805070241,0.013270071910445538,0.038826493922580786,0.07727099109367694,0.16433930736214408,0.1153908927697078,0.20042968037455144,MBI
MA0000036618,3661,UPLINE PERENNITE,UPLINE CAPITAL MANAGEMENT,FCP,Monétaire,"]0  0,5]",50% TMP +  50% MBI CT,Quotidienne,FGP,Mixte,0.03,0.03,0.02,BCP,Upline Capital Management,4690414820.48,1719.07,0.0031452779982259656,6.981005846586047e-05,0.0005238131267568,0.0019700528650279,0.0076316637847659696,0.01569867060561296,0.03436304122842902,0.06915317063462437,0.08396441159964932,0.13110105144030215,MBI+TMP
MA0000036659,3665,ATTIJARI LIQUIDITE,WAFA GESTION,FCP,Monétaire,"[0  0,5[",TMP ,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,ATTIJARIWAFA BANK,CREDIT DU MAROC,3589336710.34,1544.03,0.0027210619285120887,5.829242068987016e-05,0.0004211535720301,0.0018687343866592,0.005679634731748004,0.011954462933955532,0.025279555897898973,0.05177005919497558,0.06717397915457138,0.09692384200056839,TMP
MA0000036774,3677,AFRICAPITAL LIQUIDITY,AFRICAPITAL MANAGEMENT,FCP,Monétaire,"]0  0,5]",Repo jj capitalisé,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFRICAPITAL MANAGEMENT + AFRICA CAPITAL PARTNERS + AFRICAPITAL ASSET MANAGEMENT,1392834520.3,1531.85,0.003103902141954417,7.181375429243863e-05,0.0005159823912844,0.0020146915494154,0.006967953985209472,0.014443326004609113,0.03172946105041954,0.06637660981552378,0.07997687551554192,0.11744538060327535,Repo jj
MA0000036873,3687,AFRICAPITAL CASH,AFRICAPITAL MANAGEMENT,FCP,OCT,]0.5  1.1],MBI CT,Quotidienne,FGP,Capitalisant,0.02,0.02,0.02,ATTIJARIWAFA BANK,AFRICAPITAL MANAGEMENT + AFRICA CAPITAL PARTNERS + AFRICAPITAL ASSET MANAGEMENT,1767862403.32,1538.54,0.0034567321489133826,6.500091001268106e-05,0.0004942189389899,0.0019537100954713,0.0096599335879566,0.017936656014502755,0.040081122190299114,0.08026091291434666,0.08930126521335864,0.14071547729379053,MBI
MA0000036907,3690,FCP IRGAM MONETAIRE,IRG ASSET MANAGEMENT,FCP,Monétaire,"]0  0,5]",TMP (80%)+MBI (CT) (20%),Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,IRG Asset Management,235830775.57,152.65,0.001508988321742673,6.551362683450818e-05,0.0002621060218858,0.000983606557377,0.004210249325702354,0.0071254205977436995,0.018209711846318158,0.048996701484332016,0.06309631589943591,0.10688129939815828,MBI+TMP
MA0000036915,3691,FCP IRGAM OBLIGATAIRE,IRG ASSET MANAGEMENT,FCP,OMLT,"]1,1  13]",MBI (MLT),Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,IRG Asset Management,2251816107.98,160.91,0.010360416928293393,0.0001243085337809,0.0004352151206167,0.003930621412528,0.01700164328150675,0.044870129870129845,0.07812395309882744,0.15133085289066978,-0.03779226215391971,0.022494757577683117,MBI
MA0000036923,3692,FCP IRGAM ACTIONS,IRG ASSET MANAGEMENT,FCP,Actions,-,Masi,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,IRG Asset Management,995663093.65,236.4,0.10751932536893895,-0.0048410860871395,-0.0002537427048972,0.0212104194565639,0.10933833880807138,0.20048750761730663,0.3850480431216311,0.5905268115454485,0.2279881564594048,0.3719459114386861,Masi
MA0000036972,3697,FCP CFG PREVOYANCE,CFG GESTION,FCP,OMLT,]1.1  8],MBI Global,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,CFG BANK,CFG Gestion ,697846789.6999102,166.988382833824,0.008323065236543564,0.000649465686865,0.0026321395005944,0.0059541134567711,0.01568263994783818,0.04315581480399851,0.08222965824335556,0.15979210039466574,0.09323609315246993,0.18342022080214607,MBI
MA0000037046,3704,AXA MONETAIRE,CIH CAPITAL MANAGEMENT,FCP,Monétaire,-,Taux monetaire interbancaire,Quotidienne,FNPP,Capitalisant,0.0,0.0,0.02,BMCI,BMCI,192068662.02,154520.24,0.003158854814015519,7.00928182949323e-05,0.0005016745362487,0.002049880113465,0.00642968970789149,0.013847008020874138,0.03046310148238529,0.06206550800530972,0.07635932819734528,0.11372777629300176,
MA0000037095,3709,AD CASH,AD CAPITAL ASSET MANAGEMENT,FCP,Monétaire,[0  0.5[,MBI a court terme,Quotidienne,FGP,Capitalisant,0.0,0.0,0.006,ATTIJARIWAFA BANK,AD CAPITAL ASSET MANAGEMENT,1475019004.62,1526.63,0.0037477069950622613,7.861068712299181e-05,0.0005636498292666,0.0023834537097833,0.00828220251107939,0.016960104451860906,0.03616248684969641,0.07316438789497744,0.0908317911268945,0.13787500465844296,MBI
MA0000037186,3718,ALIF II,WAFA GESTION,FCP,OMLT,"]1,1 10]",50% MBI Moyen long terme + 50% MBI Moyen Terme,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,WAFA GESTION,2673636928.46,1758.91,0.004953606362556034,0.0002160895748153,0.000699786081653,0.002907954681522,0.013646605925439316,0.04276813080621549,0.07963564268922212,0.16562843775265415,0.1214963401259916,0.21040353436648407,MBI
MA0000037202,3720,ATLAS EQUILIBRE,ATLAS CAPITAL MANAGEMENT,FCP,OCT,]0.5  1.1],MBI CT,Quotidienne,FGP,Capitalisant,0.005,0.005,0.0075,ATTIJARIWAFA BANK,Atlas Capital Management+Atlas Capital Bourse+Atlas Portfolio Management,173731092.85,140.22,0.003363148479427541,7.132158904493905e-05,0.0005708577137149,0.0018576736210345,0.007834399482498408,0.016676334106728623,0.037974683544303764,0.0776206578542883,0.08815769051683986,0.1433463796477495,MBI
MA0000037251,3725,FCP MAROGEST CASH,MAROGEST,FCP,Monétaire,-,100% TMP,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,ATTIJARIWAFA BANK,M.S.IN & MAROGEST,77509603.19,131.74,0.003121906647376811,7.591285204599809e-05,0.0005316321105796,0.0019774870702769,0.007880039782725124,0.015415446277169722,0.033011840351289956,0.06525430581385952,0.08178682870750541,0.10520134228187925,TMP
